date,sku_id,demand_qty,on_hand
2025-12-19,SKU-1000,51.99,33
2025-12-20,SKU-1000,52.25,0
2025-12-21,SKU-1000,55.11,0
2025-12-22,SKU-1000,65.74,0
2025-12-23,SKU-1000,68.59,0
2025-12-24,SKU-1000,69.34,0
2025-12-25,SKU-1000,59.45,0
2025-12-26,SKU-1000,46.64,0
2025-12-27,SKU-1000,43.56,147
2025-12-28,SKU-1000,57.65,89
2025-12-29,SKU-1000,53.5,35
2025-12-30,SKU-1000,75.19,0
2025-12-31,SKU-1000,68.58,0
2026-01-01,SKU-1000,60.21,0
2026-01-02,SKU-1000,54.38,0
2026-01-03,SKU-1000,48.21,93
2026-01-04,SKU-1000,59.98,33
2026-01-05,SKU-1000,65.71,0
2026-01-06,SKU-1000,64.77,0
2026-01-07,SKU-1000,67.19,0
2026-01-08,SKU-1000,72.08,0
2026-01-09,SKU-1000,55.57,0
2026-01-10,SKU-1000,48.14,0
2026-01-11,SKU-1000,50.57,0
2026-01-12,SKU-1000,62.65,0
2026-01-13,SKU-1000,61.06,0
2026-01-14,SKU-1000,66.84,113
2026-01-15,SKU-1000,64.86,48
2026-01-16,SKU-1000,53.36,0
2026-01-17,SKU-1000,49.45,0
2026-01-18,SKU-1000,48.44,0
2026-01-19,SKU-1000,67.52,145
2026-01-20,SKU-1000,67.99,77
2026-01-21,SKU-1000,67.44,10
2026-01-22,SKU-1000,63.5,0
2026-01-23,SKU-1000,57.14,0
2026-01-24,SKU-1000,55.4,0
2026-01-25,SKU-1000,51.1,0
2026-01-26,SKU-1000,65.63,0
2026-01-27,SKU-1000,67.47,0
2026-01-28,SKU-1000,73.73,0
2026-01-29,SKU-1000,69.47,0
2026-01-30,SKU-1000,64.42,0
2026-01-31,SKU-1000,56.28,0
2026-02-01,SKU-1000,58.11,159
2026-02-02,SKU-1000,55.41,104
2026-02-03,SKU-1000,72.14,32
2026-02-04,SKU-1000,69.86,0
2026-02-05,SKU-1000,56.95,0
2026-02-06,SKU-1000,58.3,0
2026-02-07,SKU-1000,50.88,0
2026-02-08,SKU-1000,49.65,0
2026-02-09,SKU-1000,60.19,0
2026-02-10,SKU-1000,60.13,0
2026-02-11,SKU-1000,69.62,0
2026-02-12,SKU-1000,60.14,0
2026-02-13,SKU-1000,52.15,0
2026-02-14,SKU-1000,53.03,0
2026-02-15,SKU-1000,55.58,0
2026-02-16,SKU-1000,70.88,0
2026-02-17,SKU-1000,72.49,0
2026-02-18,SKU-1000,69.85,0
2026-02-19,SKU-1000,62.72,0
2026-02-20,SKU-1000,56.63,0
2026-02-21,SKU-1000,50.66,0
2026-02-22,SKU-1000,53.74,0
2026-02-23,SKU-1000,57.62,0
2025-10-27,SKU-1001,55.76,628
2025-10-28,SKU-1001,72.21,556
2025-10-29,SKU-1001,62.09,494
2025-10-30,SKU-1001,68.18,426
2025-10-31,SKU-1001,55.39,370
2025-11-01,SKU-1001,50.55,320
2025-11-02,SKU-1001,54.69,265
2025-11-03,SKU-1001,54.08,211
2025-11-04,SKU-1001,62.69,148
2025-11-05,SKU-1001,61.63,87
2025-11-06,SKU-1001,62.81,24
2025-11-07,SKU-1001,63.29,0
2025-11-08,SKU-1001,48.18,0
2025-11-09,SKU-1001,53.87,0
2025-11-10,SKU-1001,60.18,0
2025-11-11,SKU-1001,66.31,0
2025-11-12,SKU-1001,66.36,0
2025-11-13,SKU-1001,68.45,0
2025-11-14,SKU-1001,55.13,0
2025-11-15,SKU-1001,47.75,0
2025-11-16,SKU-1001,43.51,175
2025-11-17,SKU-1001,63.33,112
2025-11-18,SKU-1001,66.44,45
2025-11-19,SKU-1001,66.44,0
2025-11-20,SKU-1001,63.1,0
2025-11-21,SKU-1001,57.78,0
2025-11-22,SKU-1001,47.64,0
2025-11-23,SKU-1001,59.65,0
2025-11-24,SKU-1001,59.32,0
2025-11-25,SKU-1001,60.68,0
2025-11-26,SKU-1001,71.75,95
2025-11-27,SKU-1001,61.8,33
2025-11-28,SKU-1001,47.64,0
2025-11-29,SKU-1001,46.34,0
2025-11-30,SKU-1001,48.44,0
2025-12-01,SKU-1001,52.52,88
2025-12-02,SKU-1001,68.76,20
2025-12-03,SKU-1001,68.53,0
2025-12-04,SKU-1001,58.15,92
2025-12-05,SKU-1001,53.94,38
2025-12-06,SKU-1001,45.44,0
2025-12-07,SKU-1001,46.2,0
2025-12-08,SKU-1001,65.04,0
2025-12-09,SKU-1001,71.02,143
2025-12-10,SKU-1001,70.24,72
2025-12-11,SKU-1001,61.91,11
2025-12-12,SKU-1001,48.77,0
2025-12-13,SKU-1001,57.35,0
2025-12-14,SKU-1001,47.63,0
2025-12-15,SKU-1001,56.62,0
2025-12-16,SKU-1001,64.95,0
2025-12-17,SKU-1001,69.03,0
2025-12-18,SKU-1001,62.65,0
2025-12-19,SKU-1001,54.76,0
2025-12-20,SKU-1001,59.2,0
2025-12-21,SKU-1001,52.34,0
2025-12-22,SKU-1001,60.83,91
2025-12-23,SKU-1001,69.95,21
2025-12-24,SKU-1001,66.92,0
2025-12-25,SKU-1001,61.09,0
2025-12-26,SKU-1001,58.17,0
2025-12-27,SKU-1001,51.4,0
2025-12-28,SKU-1001,46.56,0
2025-12-29,SKU-1001,58.17,0
2025-12-30,SKU-1001,66.47,0
2025-12-31,SKU-1001,72.88,0
2026-01-01,SKU-1001,67.96,0
2026-01-02,SKU-1001,57.59,0
2026-01-03,SKU-1001,48.54,138
2026-01-04,SKU-1001,45.27,237
2026-01-05,SKU-1001,60.02,177
2026-01-06,SKU-1001,57.74,119
2026-01-07,SKU-1001,68.46,51
2026-01-08,SKU-1001,61.06,0
2026-01-09,SKU-1001,56.15,115
2026-01-10,SKU-1001,54.17,60
2026-01-11,SKU-1001,43.12,17
2026-01-12,SKU-1001,61.82,0
2026-01-13,SKU-1001,64.11,0
2026-01-14,SKU-1001,62.31,0
2026-01-15,SKU-1001,62.01,112
2026-01-16,SKU-1001,55.93,56
2026-01-17,SKU-1001,48.56,8
2026-01-18,SKU-1001,46.17,0
2026-01-19,SKU-1001,60.59,73
2026-01-20,SKU-1001,63.75,9
2026-01-21,SKU-1001,65.1,0
2026-01-22,SKU-1001,61.4,0
2026-01-23,SKU-1001,49.07,0
2026-01-24,SKU-1001,54.54,0
2026-01-25,SKU-1001,52.1,0
2026-01-26,SKU-1001,54.39,0
2026-01-27,SKU-1001,63.47,0
2026-01-28,SKU-1001,63.95,0
2026-01-29,SKU-1001,61.77,0
2026-01-30,SKU-1001,57.93,0
2026-01-31,SKU-1001,53.22,0
2026-02-01,SKU-1001,46.96,0
2026-02-02,SKU-1001,59.25,0
2026-02-03,SKU-1001,61.64,0
2026-02-04,SKU-1001,59.5,0
2026-02-05,SKU-1001,57.74,0
2026-02-06,SKU-1001,54.88,0
2026-02-07,SKU-1001,43.18,0
2026-02-08,SKU-1001,48.57,0
2026-02-09,SKU-1001,60.79,0
2026-02-10,SKU-1001,62.51,0
2026-02-11,SKU-1001,64.06,0
2026-02-12,SKU-1001,58.25,0
2026-02-13,SKU-1001,46.5,0
2026-02-14,SKU-1001,48.86,0
2026-02-15,SKU-1001,51.93,0
2026-02-16,SKU-1001,59.23,0
2026-02-17,SKU-1001,61.02,0
2026-02-18,SKU-1001,62.85,0
2026-02-19,SKU-1001,66.37,0
2026-02-20,SKU-1001,50.62,0
2026-02-21,SKU-1001,48.7,0
2026-02-22,SKU-1001,38.77,0
2026-02-23,SKU-1001,53.92,0
2025-10-27,SKU-1002,32.54,1399
2025-10-28,SKU-1002,45.44,1354
2025-10-29,SKU-1002,41.22,1313
2025-10-30,SKU-1002,33.8,1279
2025-10-31,SKU-1002,34.5,1244
2025-11-01,SKU-1002,31.31,1213
2025-11-02,SKU-1002,32.46,1181
2025-11-03,SKU-1002,40.82,1238
2025-11-04,SKU-1002,39.07,1199
2025-11-05,SKU-1002,40.61,1159
2025-11-06,SKU-1002,39.23,1119
2025-11-07,SKU-1002,36.39,1083
2025-11-08,SKU-1002,32.33,1051
2025-11-09,SKU-1002,30.51,1141
2025-11-10,SKU-1002,35.38,1105
2025-11-11,SKU-1002,41.33,1064
2025-11-12,SKU-1002,42.61,1021
2025-11-13,SKU-1002,37.58,984
2025-11-14,SKU-1002,28.45,955
2025-11-15,SKU-1002,32.04,923
2025-11-16,SKU-1002,31.4,892
2025-11-17,SKU-1002,34.11,858
2025-11-18,SKU-1002,39.7,818
2025-11-19,SKU-1002,38.85,779
2025-11-20,SKU-1002,39.83,739
2025-11-21,SKU-1002,33.29,706
2025-11-22,SKU-1002,26.66,679
2025-11-23,SKU-1002,33.38,646
2025-11-24,SKU-1002,38.13,742
2025-11-25,SKU-1002,43.22,699
2025-11-26,SKU-1002,43.02,656
2025-11-27,SKU-1002,41.0,615
2025-11-28,SKU-1002,37.58,577
2025-11-29,SKU-1002,26.98,550
2025-11-30,SKU-1002,32.22,518
2025-12-01,SKU-1002,38.12,598
2025-12-02,SKU-1002,39.46,558
2025-12-03,SKU-1002,41.31,634
2025-12-04,SKU-1002,44.13,590
2025-12-05,SKU-1002,33.88,556
2025-12-06,SKU-1002,29.53,527
2025-12-07,SKU-1002,33.83,493
2025-12-08,SKU-1002,39.94,453
2025-12-09,SKU-1002,41.17,412
2025-12-10,SKU-1002,44.14,368
2025-12-11,SKU-1002,40.58,327
2025-12-12,SKU-1002,35.66,291
2025-12-13,SKU-1002,26.74,265
2025-12-14,SKU-1002,32.5,232
2025-12-15,SKU-1002,31.97,200
2025-12-16,SKU-1002,39.56,161
2025-12-17,SKU-1002,35.74,125
2025-12-18,SKU-1002,42.06,83
2025-12-19,SKU-1002,32.81,50
2025-12-20,SKU-1002,33.83,16
2025-12-21,SKU-1002,32.29,0
2025-12-22,SKU-1002,39.02,0
2025-12-23,SKU-1002,44.7,0
2025-12-24,SKU-1002,43.3,0
2025-12-25,SKU-1002,37.81,0
2025-12-26,SKU-1002,37.27,0
2025-12-27,SKU-1002,31.12,0
2025-12-28,SKU-1002,33.25,0
2025-12-29,SKU-1002,36.91,0
2025-12-30,SKU-1002,38.48,0
2025-12-31,SKU-1002,41.82,82
2026-01-01,SKU-1002,34.94,47
2026-01-02,SKU-1002,35.59,11
2026-01-03,SKU-1002,27.08,0
2026-01-04,SKU-1002,34.12,0
2026-01-05,SKU-1002,35.59,0
2026-01-06,SKU-1002,40.63,0
2026-01-07,SKU-1002,39.71,0
2026-01-08,SKU-1002,40.01,0
2026-01-09,SKU-1002,36.59,0
2026-01-10,SKU-1002,28.86,0
2026-01-11,SKU-1002,31.62,0
2026-01-12,SKU-1002,37.63,0
2026-01-13,SKU-1002,39.47,0
2026-01-14,SKU-1002,46.0,0
2026-01-15,SKU-1002,45.33,0
2026-01-16,SKU-1002,35.24,0
2026-01-17,SKU-1002,31.22,0
2026-01-18,SKU-1002,33.01,0
2026-01-19,SKU-1002,34.55,0
2026-01-20,SKU-1002,37.09,0
2026-01-21,SKU-1002,40.17,0
2026-01-22,SKU-1002,40.04,0
2026-01-23,SKU-1002,33.6,82
2026-01-24,SKU-1002,30.52,52
2026-01-25,SKU-1002,36.01,16
2026-01-26,SKU-1002,34.81,0
2026-01-27,SKU-1002,40.68,0
2026-01-28,SKU-1002,37.69,0
2026-01-29,SKU-1002,38.29,0
2026-01-30,SKU-1002,37.42,0
2026-01-31,SKU-1002,33.7,0
2026-02-01,SKU-1002,31.97,0
2026-02-02,SKU-1002,40.59,0
2026-02-03,SKU-1002,43.33,0
2026-02-04,SKU-1002,48.11,0
2026-02-05,SKU-1002,41.08,0
2026-02-06,SKU-1002,28.59,0
2026-02-07,SKU-1002,31.01,0
2026-02-08,SKU-1002,34.68,0
2026-02-09,SKU-1002,32.0,54
2026-02-10,SKU-1002,40.36,13
2026-02-11,SKU-1002,41.4,0
2026-02-12,SKU-1002,43.01,0
2026-02-13,SKU-1002,37.88,88
2026-02-14,SKU-1002,26.25,62
2026-02-15,SKU-1002,29.09,33
2026-02-16,SKU-1002,37.24,0
2026-02-17,SKU-1002,42.35,0
2026-02-18,SKU-1002,43.29,0
2026-02-19,SKU-1002,38.48,0
2026-02-20,SKU-1002,32.99,0
2026-02-21,SKU-1002,26.61,0
2026-02-22,SKU-1002,38.12,0
2026-02-23,SKU-1002,40.91,0
2025-10-27,SKU-1003,56.89,338
2025-10-28,SKU-1003,56.7,281
2025-10-29,SKU-1003,58.83,223
2025-10-30,SKU-1003,53.98,306
2025-10-31,SKU-1003,56.99,249
2025-11-01,SKU-1003,42.57,207
2025-11-02,SKU-1003,47.91,283
2025-11-03,SKU-1003,54.75,228
2025-11-04,SKU-1003,57.48,340
2025-11-05,SKU-1003,58.8,401
2025-11-06,SKU-1003,46.36,355
2025-11-07,SKU-1003,45.52,309
2025-11-08,SKU-1003,46.02,263
2025-11-09,SKU-1003,38.6,225
2025-11-10,SKU-1003,49.8,175
2025-11-11,SKU-1003,59.18,116
2025-11-12,SKU-1003,49.98,66
2025-11-13,SKU-1003,48.21,18
2025-11-14,SKU-1003,49.2,0
2025-11-15,SKU-1003,50.02,0
2025-11-16,SKU-1003,38.76,151
2025-11-17,SKU-1003,46.03,250
2025-11-18,SKU-1003,48.91,201
2025-11-19,SKU-1003,58.0,143
2025-11-20,SKU-1003,54.75,88
2025-11-21,SKU-1003,47.84,40
2025-11-22,SKU-1003,45.28,0
2025-11-23,SKU-1003,46.69,0
2025-11-24,SKU-1003,50.33,0
2025-11-25,SKU-1003,57.83,0
2025-11-26,SKU-1003,65.13,0
2025-11-27,SKU-1003,49.38,0
2025-11-28,SKU-1003,46.53,0
2025-11-29,SKU-1003,40.61,0
2025-11-30,SKU-1003,42.4,0
2025-12-01,SKU-1003,48.04,0
2025-12-02,SKU-1003,60.97,0
2025-12-03,SKU-1003,54.35,0
2025-12-04,SKU-1003,50.89,0
2025-12-05,SKU-1003,43.0,0
2025-12-06,SKU-1003,43.42,0
2025-12-07,SKU-1003,41.11,0
2025-12-08,SKU-1003,42.43,147
2025-12-09,SKU-1003,57.59,90
2025-12-10,SKU-1003,51.22,38
2025-12-11,SKU-1003,57.58,0
2025-12-12,SKU-1003,47.36,0
2025-12-13,SKU-1003,46.12,0
2025-12-14,SKU-1003,40.25,0
2025-12-15,SKU-1003,56.91,0
2025-12-16,SKU-1003,61.71,0
2025-12-17,SKU-1003,62.29,0
2025-12-18,SKU-1003,53.68,0
2025-12-19,SKU-1003,50.81,0
2025-12-20,SKU-1003,43.2,0
2025-12-21,SKU-1003,49.96,0
2025-12-22,SKU-1003,43.9,0
2025-12-23,SKU-1003,57.04,0
2025-12-24,SKU-1003,63.83,0
2025-12-25,SKU-1003,57.64,0
2025-12-26,SKU-1003,51.22,0
2025-12-27,SKU-1003,46.7,0
2025-12-28,SKU-1003,45.65,0
2025-12-29,SKU-1003,47.22,0
2025-12-30,SKU-1003,58.86,120
2025-12-31,SKU-1003,59.71,60
2026-01-01,SKU-1003,54.81,5
2026-01-02,SKU-1003,43.02,0
2026-01-03,SKU-1003,47.12,0
2026-01-04,SKU-1003,44.04,0
2026-01-05,SKU-1003,46.63,0
2026-01-06,SKU-1003,52.66,79
2026-01-07,SKU-1003,66.71,13
2026-01-08,SKU-1003,57.34,0
2026-01-09,SKU-1003,48.1,0
2026-01-10,SKU-1003,38.16,0
2026-01-11,SKU-1003,44.82,0
2026-01-12,SKU-1003,51.76,0
2026-01-13,SKU-1003,58.11,95
2026-01-14,SKU-1003,60.45,35
2026-01-15,SKU-1003,45.61,0
2026-01-16,SKU-1003,50.53,0
2026-01-17,SKU-1003,43.82,0
2026-01-18,SKU-1003,43.15,79
2026-01-19,SKU-1003,52.26,27
2026-01-20,SKU-1003,61.83,0
2026-01-21,SKU-1003,63.32,0
2026-01-22,SKU-1003,49.83,0
2026-01-23,SKU-1003,47.29,0
2026-01-24,SKU-1003,42.08,0
2026-01-25,SKU-1003,49.88,0
2026-01-26,SKU-1003,52.66,0
2026-01-27,SKU-1003,54.35,0
2026-01-28,SKU-1003,58.33,0
2026-01-29,SKU-1003,52.31,0
2026-01-30,SKU-1003,47.8,0
2026-01-31,SKU-1003,41.8,0
2026-02-01,SKU-1003,45.89,107
2026-02-02,SKU-1003,53.4,53
2026-02-03,SKU-1003,53.61,0
2026-02-04,SKU-1003,57.16,0
2026-02-05,SKU-1003,61.26,0
2026-02-06,SKU-1003,43.73,0
2026-02-07,SKU-1003,46.76,0
2026-02-08,SKU-1003,44.73,0
2026-02-09,SKU-1003,53.66,0
2026-02-10,SKU-1003,61.17,0
2026-02-11,SKU-1003,61.04,131
2026-02-12,SKU-1003,53.39,78
2026-02-13,SKU-1003,49.21,157
2026-02-14,SKU-1003,37.15,120
2026-02-15,SKU-1003,47.05,73
2026-02-16,SKU-1003,50.42,23
2026-02-17,SKU-1003,57.05,0
2026-02-18,SKU-1003,60.8,63
2026-02-19,SKU-1003,53.32,10
2026-02-20,SKU-1003,48.02,0
2026-02-21,SKU-1003,47.74,0
2026-02-22,SKU-1003,46.91,0
2026-02-23,SKU-1003,52.46,0
2025-10-27,SKU-1004,53.54,1568
2025-10-28,SKU-1004,62.09,1506
2025-10-29,SKU-1004,58.01,1448
2025-10-30,SKU-1004,55.64,1393
2025-10-31,SKU-1004,47.43,1345
2025-11-01,SKU-1004,43.46,1419
2025-11-02,SKU-1004,42.88,1491
2025-11-03,SKU-1004,53.13,1438
2025-11-04,SKU-1004,50.82,1387
2025-11-05,SKU-1004,51.11,1336
2025-11-06,SKU-1004,62.0,1274
2025-11-07,SKU-1004,51.33,1223
2025-11-08,SKU-1004,45.64,1177
2025-11-09,SKU-1004,45.65,1132
2025-11-10,SKU-1004,59.31,1072
2025-11-11,SKU-1004,58.62,1014
2025-11-12,SKU-1004,62.03,952
2025-11-13,SKU-1004,58.85,893
2025-11-14,SKU-1004,55.86,837
2025-11-15,SKU-1004,43.16,794
2025-11-16,SKU-1004,44.44,749
2025-11-17,SKU-1004,50.89,699
2025-11-18,SKU-1004,58.59,640
2025-11-19,SKU-1004,64.37,576
2025-11-20,SKU-1004,51.75,665
2025-11-21,SKU-1004,45.2,619
2025-11-22,SKU-1004,48.08,688
2025-11-23,SKU-1004,41.25,647
2025-11-24,SKU-1004,49.09,598
2025-11-25,SKU-1004,61.22,537
2025-11-26,SKU-1004,61.61,475
2025-11-27,SKU-1004,60.26,415
2025-11-28,SKU-1004,52.23,504
2025-11-29,SKU-1004,40.43,464
2025-11-30,SKU-1004,39.24,549
2025-12-01,SKU-1004,47.4,502
2025-12-02,SKU-1004,57.15,444
2025-12-03,SKU-1004,60.73,384
2025-12-04,SKU-1004,60.11,324
2025-12-05,SKU-1004,48.62,275
2025-12-06,SKU-1004,44.95,230
2025-12-07,SKU-1004,42.11,188
2025-12-08,SKU-1004,55.3,133
2025-12-09,SKU-1004,55.27,77
2025-12-10,SKU-1004,69.21,8
2025-12-11,SKU-1004,56.64,0
2025-12-12,SKU-1004,51.88,0
2025-12-13,SKU-1004,43.53,0
2025-12-14,SKU-1004,45.02,0
2025-12-15,SKU-1004,55.1,0
2025-12-16,SKU-1004,56.26,0
2025-12-17,SKU-1004,59.4,56
2025-12-18,SKU-1004,59.72,0
2025-12-19,SKU-1004,50.72,0
2025-12-20,SKU-1004,44.64,0
2025-12-21,SKU-1004,44.62,0
2025-12-22,SKU-1004,47.49,0
2025-12-23,SKU-1004,58.24,0
2025-12-24,SKU-1004,57.57,0
2025-12-25,SKU-1004,56.05,0
2025-12-26,SKU-1004,53.37,89
2025-12-27,SKU-1004,41.35,48
2025-12-28,SKU-1004,45.74,2
2025-12-29,SKU-1004,54.69,0
2025-12-30,SKU-1004,54.93,83
2025-12-31,SKU-1004,59.62,23
2026-01-01,SKU-1004,65.59,0
2026-01-02,SKU-1004,49.2,0
2026-01-03,SKU-1004,46.96,0
2026-01-04,SKU-1004,41.5,0
2026-01-05,SKU-1004,48.06,0
2026-01-06,SKU-1004,58.5,0
2026-01-07,SKU-1004,56.06,0
2026-01-08,SKU-1004,54.7,126
2026-01-09,SKU-1004,46.58,80
2026-01-10,SKU-1004,37.57,164
2026-01-11,SKU-1004,46.09,265
2026-01-12,SKU-1004,52.13,213
2026-01-13,SKU-1004,55.63,279
2026-01-14,SKU-1004,54.81,224
2026-01-15,SKU-1004,46.28,178
2026-01-16,SKU-1004,49.53,128
2026-01-17,SKU-1004,41.03,87
2026-01-18,SKU-1004,45.88,41
2026-01-19,SKU-1004,44.19,0
2026-01-20,SKU-1004,54.54,0
2026-01-21,SKU-1004,60.55,113
2026-01-22,SKU-1004,53.32,60
2026-01-23,SKU-1004,53.5,7
2026-01-24,SKU-1004,50.18,0
2026-01-25,SKU-1004,45.18,116
2026-01-26,SKU-1004,52.87,201
2026-01-27,SKU-1004,50.85,150
2026-01-28,SKU-1004,59.52,220
2026-01-29,SKU-1004,55.05,165
2026-01-30,SKU-1004,45.16,120
2026-01-31,SKU-1004,43.37,77
2026-02-01,SKU-1004,53.19,24
2026-02-02,SKU-1004,45.77,0
2026-02-03,SKU-1004,52.03,0
2026-02-04,SKU-1004,65.03,0
2026-02-05,SKU-1004,49.06,0
2026-02-06,SKU-1004,53.86,75
2026-02-07,SKU-1004,42.99,32
2026-02-08,SKU-1004,48.56,159
2026-02-09,SKU-1004,56.93,102
2026-02-10,SKU-1004,60.85,157
2026-02-11,SKU-1004,60.91,96
2026-02-12,SKU-1004,59.18,37
2026-02-13,SKU-1004,44.76,164
2026-02-14,SKU-1004,45.31,118
2026-02-15,SKU-1004,50.32,68
2026-02-16,SKU-1004,41.78,26
2026-02-17,SKU-1004,56.2,0
2026-02-18,SKU-1004,60.43,0
2026-02-19,SKU-1004,53.37,0
2026-02-20,SKU-1004,57.05,0
2026-02-21,SKU-1004,39.27,105
2026-02-22,SKU-1004,42.97,62
2026-02-23,SKU-1004,49.97,138
2025-10-27,SKU-1005,32.28,1621
2025-10-28,SKU-1005,37.73,1583
2025-10-29,SKU-1005,37.04,1546
2025-10-30,SKU-1005,36.07,1510
2025-10-31,SKU-1005,33.75,1476
2025-11-01,SKU-1005,32.47,1444
2025-11-02,SKU-1005,28.38,1415
2025-11-03,SKU-1005,35.39,1380
2025-11-04,SKU-1005,41.79,1338
2025-11-05,SKU-1005,41.86,1296
2025-11-06,SKU-1005,36.66,1260
2025-11-07,SKU-1005,28.58,1231
2025-11-08,SKU-1005,33.36,1198
2025-11-09,SKU-1005,33.36,1164
2025-11-10,SKU-1005,38.67,1249
2025-11-11,SKU-1005,37.44,1211
2025-11-12,SKU-1005,39.45,1172
2025-11-13,SKU-1005,36.12,1136
2025-11-14,SKU-1005,27.16,1109
2025-11-15,SKU-1005,26.56,1082
2025-11-16,SKU-1005,32.3,1050
2025-11-17,SKU-1005,36.1,1014
2025-11-18,SKU-1005,41.0,973
2025-11-19,SKU-1005,40.67,932
2025-11-20,SKU-1005,29.18,903
2025-11-21,SKU-1005,32.39,870
2025-11-22,SKU-1005,29.81,841
2025-11-23,SKU-1005,26.17,814
2025-11-24,SKU-1005,38.92,775
2025-11-25,SKU-1005,37.39,738
2025-11-26,SKU-1005,41.37,697
2025-11-27,SKU-1005,38.16,659
2025-11-28,SKU-1005,33.26,625
2025-11-29,SKU-1005,32.66,593
2025-11-30,SKU-1005,29.44,563
2025-12-01,SKU-1005,36.4,527
2025-12-02,SKU-1005,39.04,488
2025-12-03,SKU-1005,35.47,452
2025-12-04,SKU-1005,34.28,418
2025-12-05,SKU-1005,28.34,390
2025-12-06,SKU-1005,23.99,481
2025-12-07,SKU-1005,30.51,450
2025-12-08,SKU-1005,39.46,411
2025-12-09,SKU-1005,36.14,375
2025-12-10,SKU-1005,38.38,336
2025-12-11,SKU-1005,40.86,295
2025-12-12,SKU-1005,28.64,267
2025-12-13,SKU-1005,29.94,237
2025-12-14,SKU-1005,26.28,211
2025-12-15,SKU-1005,35.45,175
2025-12-16,SKU-1005,36.24,139
2025-12-17,SKU-1005,40.53,98
2025-12-18,SKU-1005,35.36,63
2025-12-19,SKU-1005,30.23,33
2025-12-20,SKU-1005,28.26,4
2025-12-21,SKU-1005,34.31,0
2025-12-22,SKU-1005,41.11,0
2025-12-23,SKU-1005,40.59,0
2025-12-24,SKU-1005,41.65,0
2025-12-25,SKU-1005,33.05,0
2025-12-26,SKU-1005,29.84,0
2025-12-27,SKU-1005,36.72,0
2025-12-28,SKU-1005,34.96,0
2025-12-29,SKU-1005,37.99,49
2025-12-30,SKU-1005,37.93,11
2025-12-31,SKU-1005,38.49,52
2026-01-01,SKU-1005,36.46,15
2026-01-02,SKU-1005,31.34,0
2026-01-03,SKU-1005,34.28,0
2026-01-04,SKU-1005,29.89,0
2026-01-05,SKU-1005,31.88,0
2026-01-06,SKU-1005,40.46,0
2026-01-07,SKU-1005,38.21,44
2026-01-08,SKU-1005,40.65,3
2026-01-09,SKU-1005,32.4,0
2026-01-10,SKU-1005,25.9,0
2026-01-11,SKU-1005,33.97,0
2026-01-12,SKU-1005,35.31,69
2026-01-13,SKU-1005,42.42,26
2026-01-14,SKU-1005,38.06,0
2026-01-15,SKU-1005,37.0,0
2026-01-16,SKU-1005,33.44,0
2026-01-17,SKU-1005,27.93,0
2026-01-18,SKU-1005,28.81,0
2026-01-19,SKU-1005,33.61,0
2026-01-20,SKU-1005,38.26,0
2026-01-21,SKU-1005,35.11,0
2026-01-22,SKU-1005,33.65,0
2026-01-23,SKU-1005,36.43,0
2026-01-24,SKU-1005,28.08,0
2026-01-25,SKU-1005,25.89,0
2026-01-26,SKU-1005,32.22,0
2026-01-27,SKU-1005,45.2,0
2026-01-28,SKU-1005,36.17,0
2026-01-29,SKU-1005,35.63,0
